hhcode,Province,Region,PSU,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1102100101,Khyber Pakhtunkhwa,Urban,11021001,No,No,No,No,No,No,No,No
1102100102,Khyber Pakhtunkhwa,Urban,11021001,No,No,No,No,No,No,No,No
1102100103,Khyber Pakhtunkhwa,Urban,11021001,No,No,No,No,No,No,No,No
1102100104,Khyber Pakhtunkhwa,Urban,11021001,Yes,Yes,Yes,No,No,No,No,No
1102100105,Khyber Pakhtunkhwa,Urban,11021001,No,No,No,No,No,No,No,No
1102100106,Khyber Pakhtunkhwa,Urban,11021001,No,No,No,No,99,98,No,No
1102100107,Khyber Pakhtunkhwa,Urban,11021001,No,No,No,98,99,99,No,No
1102100108,Khyber Pakhtunkhwa,Urban,11021001,Yes,Yes,Yes,No,No,No,99,No
1102100109,Khyber Pakhtunkhwa,Urban,11021001,No,No,No,No,No,No,No,No
1102100110,Khyber Pakhtunkhwa,Urban,11021001,No,No,No,No,No,No,No,No
1102100111,Khyber Pakhtunkhwa,Urban,11021001,No,No,No,No,No,No,No,No
1102100112,Khyber Pakhtunkhwa,Urban,11021001,No,Yes,Yes,No,Yes,No,No,No
1102100501,Khyber Pakhtunkhwa,Urban,11021005,99,99,Yes,No,No,No,No,No
1102100502,Khyber Pakhtunkhwa,Urban,11021005,Yes,Yes,No,No,No,No,No,No
1102100503,Khyber Pakhtunkhwa,Urban,11021005,No,No,No,No,No,No,No,No
1102100504,Khyber Pakhtunkhwa,Urban,11021005,No,No,Yes,Yes,No,No,No,No
1102100505,Khyber Pakhtunkhwa,Urban,11021005,No,No,No,No,No,No,No,No
1102100506,Khyber Pakhtunkhwa,Urban,11021005,No,No,No,No,No,No,No,No
1102100507,Khyber Pakhtunkhwa,Urban,11021005,No,No,No,No,No,No,No,No
1102100508,Khyber Pakhtunkhwa,Urban,11021005,No,No,No,No,No,No,No,No
1102100509,Khyber Pakhtunkhwa,Urban,11021005,No,No,No,No,No,No,No,No
1102100510,Khyber Pakhtunkhwa,Urban,11021005,No,No,No,No,Yes,Yes,No,No
1102100511,Khyber Pakhtunkhwa,Urban,11021005,No,No,No,No,No,No,No,No
